spend time: 0, cur_state: 1, cur_clip:0
spend time: 1, cur_state: 0, cur_clip:0
spend time: 1, cur_state: 1, cur_clip:1
spend time: 2, cur_state: 2, cur_clip:1
spend time: 3, cur_state: 2, cur_clip:2
spend time: 3, cur_state: 3, cur_clip:1
spend time: 4, cur_state: 3, cur_clip:3
spend time: 4, cur_state: 4, cur_clip:1
spend time: 4, cur_state: 4, cur_clip:2
spend time: 5, cur_state: 4, cur_clip:4
spend time: 5, cur_state: 4, cur_clip:4
spend time: 5, cur_state: 5, cur_clip:1
spend time: 5, cur_state: 6, cur_clip:2
spend time: 5, cur_state: 6, cur_clip:3
spend time: 6, cur_state: 5, cur_clip:5
spend time: 6, cur_state: 6, cur_clip:1
spend time: 6, cur_state: 6, cur_clip:6
spend time: 6, cur_state: 6, cur_clip:6
spend time: 6, cur_state: 8, cur_clip:2
spend time: 6, cur_state: 8, cur_clip:4
spend time: 6, cur_state: 8, cur_clip:4
spend time: 6, cur_state: 9, cur_clip:3
spend time: 7, cur_state: 6, cur_clip:6
spend time: 7, cur_state: 7, cur_clip:1
spend time: 7, cur_state: 7, cur_clip:2
spend time: 7, cur_state: 7, cur_clip:4
spend time: 7, cur_state: 7, cur_clip:4
spend time: 7, cur_state: 8, cur_clip:8
spend time: 7, cur_state: 8, cur_clip:8
spend time: 7, cur_state: 8, cur_clip:8
spend time: 7, cur_state: 9, cur_clip:9
spend time: 7, cur_state: 10, cur_clip:2
spend time: 7, cur_state: 10, cur_clip:5
spend time: 7, cur_state: 12, cur_clip:3
spend time: 7, cur_state: 12, cur_clip:4
spend time: 7, cur_state: 12, cur_clip:4
spend time: 7, cur_state: 12, cur_clip:6
spend time: 7, cur_state: 12, cur_clip:6
spend time: 8, cur_state: 7, cur_clip:7
spend time: 8, cur_state: 7, cur_clip:7
spend time: 8, cur_state: 7, cur_clip:7
spend time: 8, cur_state: 7, cur_clip:7
spend time: 8, cur_state: 10, cur_clip:10
spend time: 8, cur_state: 10, cur_clip:10
spend time: 8, cur_state: 11, cur_clip:3
spend time: 8, cur_state: 11, cur_clip:4
spend time: 8, cur_state: 11, cur_clip:4
spend time: 8, cur_state: 11, cur_clip:4
spend time: 8, cur_state: 11, cur_clip:4
spend time: 8, cur_state: 11, cur_clip:6
spend time: 8, cur_state: 11, cur_clip:6
spend time: 8, cur_state: 12, cur_clip:2
spend time: 8, cur_state: 12, cur_clip:6
spend time: 8, cur_state: 12, cur_clip:12
spend time: 8, cur_state: 12, cur_clip:12
spend time: 8, cur_state: 12, cur_clip:12
spend time: 8, cur_state: 12, cur_clip:12
spend time: 8, cur_state: 12, cur_clip:12
spend time: 8, cur_state: 15, cur_clip:3
spend time: 8, cur_state: 15, cur_clip:5
spend time: 8, cur_state: 16, cur_clip:4
spend time: 8, cur_state: 16, cur_clip:4
spend time: 8, cur_state: 16, cur_clip:8
spend time: 8, cur_state: 16, cur_clip:8
spend time: 8, cur_state: 16, cur_clip:8
spend time: 8, cur_state: 18, cur_clip:6
spend time: 8, cur_state: 18, cur_clip:6
spend time: 8, cur_state: 18, cur_clip:9
spend time: 9, cur_state: 11, cur_clip:11
spend time: 9, cur_state: 11, cur_clip:11
spend time: 9, cur_state: 11, cur_clip:11
